Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
ATELIERS CHOLLET FRÈRES;65201681700023;43.32A;Travaux de menuiserie bois et PVC (43.32A);ILE-DE-FRANCE;2020-02-20;2025-02-17;Architecture et Patrimoine Bâti;48.765288, 2.396583
ELIE BLEU;32971259000051;16.29Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";ILE-DE-FRANCE;2020-03-16;2025-03-14;Ameublement et Décoration;48.923367, 2.30492
VERRERIES ET CRISTALLERIES WALTERSPERGER;83905023400021;23.13Z;Fabrication de verre creux (23.13Z);NORMANDIE;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;49.935775, 1.610985
ALELOR;41452729100036;46.38B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;GRAND-EST;2020-03-16;2025-03-14;Gastronomie;48.88159, 7.664716
LAUMAILLE;49124794600024;33.20D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;OCCITANIE;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;43.232686, 0.006763
COOPÉRATIVE OLÉICOLE DE LA VALLÉE DES BAUX;78274725700015;10.41B;Fabrication d’huiles et graisses raffinées;PROVENCE-ALPES-COTE D'AZUR;2020-10-01;2025-09-29;Gastronomie;43.72410635243404, 4.800818841259693
L'ARTISAN COSTUMIER;33749966900030;14.13Z;Fabrication de vêtements de dessus (14.13Z);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Mode et beauté;45.672742, 4.853607
DOLEX-BESSEY SER;71850343600054;25.73B;Fabrication d’autres outillages (25.73B);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Equipements Industriels, Médicaux, Mécaniques;45.469366, 4.53401
FRIGINOX;77815124100016;28.25Z;Fabrication d’équipements aérauliques et frigorifiques industriels (28.25Z);BOURGOGNE-FRANCHE-COMTÉ;2021-10-29;2026-10-27;Equipements Industriels, Médicaux, Mécaniques;48.02629, 3.314742
TITANIUM SOUND;48093282100022;32.20Z;Fabrication d’instruments de musique (32.20Z);OCCITANIE;2021-11-18;2026-11-16;Culture et Communication;44.372058, 3.524378
LE POTIER D'ÉTAIN ETS PATRICK BRASSAC;78837812300012;25.99A;Fabrication d’articles métalliques ménagers (25.99A);AUVERGNE-RHÔNE-ALPES;2021-11-20;2026-11-18;Arts de la table;45.019703, 5.038157
EUROCAVE;32031699500093;27.51Z;Fabrication d’appareils électroménagers (27.51Z);AUVERGNE-RHÔNE-ALPES;2021-11-21;2026-11-19;Equipements Industriels, Médicaux, Mécaniques;45.772106, 4.868663
RICHARD ORFÈVRE;74675010800050;32.12Z;Fabrication d’articles de joaillerie et bijouterie;ILE-DE-FRANCE;2021-11-23;2026-11-21;Arts de la table;45.015582, 5.031399
JEAN-MARC CASTEIGT;35077842900018;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);NOUVELLE AQUITAINE;2022-02-23;2027-02-21;Gastronomie;43.301824, -0.373513
PHILIPPE ATIENZA BOTTIER PARIS;81813464500022;15.20Z;Fabrication de chaussures (15.20Z);ILE-DE-FRANCE;2022-03-22;2027-03-20;Mode et beauté;48.847194, 2.375957
SOC EXPLOIT ETS REIGNOUX FRERES;30021029100013;43.32B;Travaux de menuiserie métallique et serrurerie (43.32B);CENTRE-VAL-DE-LOIRE;2022-03-24;2027-03-22;Architecture et Patrimoine Bâti;46.64067032907398, 1.3925967917249467
EQU'INOX 49;35375511900016;25.11Z;Fabrication de structures métalliques et de parties de structures (25.11Z);PAYS-DE-LA-LOIRE;2022-04-08;2027-04-06;Ameublement et Décoration;47.07223971434181, -0.9364603696127475
LA MALLE BERNARD;88294088500024;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);NORMANDIE;2022-06-22;2027-06-20;Ameublement et Décoration;48.864069, 1.248557
SA BILLON;34784970500012;25.61Z;Traitement et revêtement des métaux (25.61Z);ILE-DE-FRANCE;2022-11-02;2027-10-31;Ameublement et Décoration;48.863656, 2.349524
BELLON & FILS;31372090600046;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2022-12-07;2027-12-05;Mode et beauté;44.973515, 4.894226
SOFAMA;35053169500012;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);AUVERGNE-RHÔNE-ALPES;2022-12-12;2027-12-10;Mode et beauté;46.12134, 3.318584
ETABLISSEMENTS PROVERBIO;35156845600013;13.30Z;Ennoblissement textile (13.30Z);AUVERGNE-RHÔNE-ALPES;2023-01-03;2028-01-01;Mode et beauté;45.82229, 4.959643
SAS FAIENCERIES DE GIEN;33047164000012;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);CENTRE-VAL-DE-LOIRE;2023-02-02;2028-01-31;Arts de la table;48.91928432367363, 2.315366300234451
SIEGEAIR;30020444300026;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);ILE-DE-FRANCE;2023-03-28;2028-03-25;Ameublement et Décoration;48.795074, 2.543063
DOMAINE DU COQUEREL;40852857800011;11.01Z;Production de boissons alcooliques distillées (11.01Z);NORMANDIE;2023-06-15;2028-06-12;Gastronomie;48.592105, -1.020907
SOC JEAN MARIE BOT ET FILS;31525752700020;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);OCCITANIE;2023-07-11;2028-07-08;Mode et beauté;43.182764, 3.005476
MARBRERIE RAVIT;43718006000018;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Architecture et Patrimoine Bâti;44.770896, 4.830291
EPROSE;41841852100054;25.73B;Fabrication d’autres outillages (25.73B);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Equipements Industriels, Médicaux, Mécaniques;45.850909, 3.539242
SAG (ANNE GUI);30949651100044;18.12Z;Autre imprimerie (labeur) (18.12Z);ILE-DE-FRANCE;2023-10-26;2028-10-23;Equipements Industriels, Médicaux, Mécaniques;49.043661, 2.142401
ETABLISSEMENTS CAMBOUR;60291738700030;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2024-03-18;2029-03-16;Mode et beauté;48.878508, 2.350465
ETABLISSEMENTS MURELLI;60820234700019;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2024-03-18;2029-03-16;Mode et beauté;49.026979, 2.333471
ALM DECO;39402044000027;46.49Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques;ILE-DE-FRANCE;2024-03-18;2029-03-16;Ameublement et Décoration;48.902893, 2.397258
ATELIERS MUQUET;33438044100041;43.32A;Travaux de menuiserie bois et PVC (43.32A);ILE-DE-FRANCE;2024-04-26;2029-04-24;Ameublement et Décoration;48.914358, 2.198355
TANNERIE D ANNONAY;32929495300032;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";AUVERGNE-RHÔNE-ALPES;2024-06-17;2029-06-15;Mode et beauté;45.234468, 4.675122
ORGUES GIROUD SUCCESSEURS;43318151800013;32.20Z;Fabrication d’instruments de musique (32.20Z);AUVERGNE-RHÔNE-ALPES;2024-06-18;2029-06-16;Culture et Communication;45.266059, 5.877455
RUBEL & MENASCHE;56208299000036;46.48Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;45.19759545661882, 5.711623795297926
SIEGES BASTIAT;80148082300013;31.09A;Fabrication de sièges d'ameublement d'intérieur;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Ameublement et Décoration;43.63865054918051, -0.6121632213985682
ETIENNE BRANA;30655304100030;11.01Z;Production de boissons alcooliques distillées;NOUVELLE AQUITAINE;2025-05-26;2030-05-24;Gastronomie;43.24902365080061, -1.2169040067087773
PYRENEX;30230662600011;13.92Z;Fabrication d'articles textiles, sauf habillement;NOUVELLE AQUITAINE;2025-05-26;2030-05-24;Mode et beauté;47.807156, -1.078551
ETABLISSEMENTS BEAL;49373643300027;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie";AUVERGNE-RHÔNE-ALPES;2025-06-26;2030-06-24;Arts de la table;45.427924, 4.064344
SOCIETE DOGNETON PANTOUFLES ARTICLES CHAUSSANTS;32928596900013;15.20Z;Fabrication de chaussures;Nouvelle-Aquitaine;2025-07-04;2030-07-02;Mode et beauté;45.51337010544232, 0.6490733289704418
Au Tape-Clous;48016136300019;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);GRAND-EST;2019-08-30;2024-08-27;Ameublement et Décoration;48.42072166265108, 7.6642613807571145
Mehari Club Cassis (MCC);38508116100031;45.32Z;Commerce de détail d équipements automobiles;PROVENCE-ALPES-COTE D'AZUR;2019-08-30;2024-08-27;Loisirs et Transports;43.31259235424601, 5.550758281374647
ATELIERS PINTON;44295332900012;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);NOUVELLE AQUITAINE;2019-12-23;2024-12-20;Ameublement et Décoration;45.882249, 2.171371
LE BOIS DE LUTHERIE;38507455400028;16.10A;Sciage et rabotage du bois, hors imprégnation (16.10A);BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;47.052564, 6.063664
VALTEX GROUP;32020317700011;18.13Z;Activités de pré-presse (18.13Z);AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;45.938453, 4.436236
CHEZ LE BOURRELIER;35094656200021;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);AUVERGNE-RHÔNE-ALPES;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;45.940663, 6.424302
SFOP - SUPRA TECHNOLOGIES;34340376200028;25.73B;Fabrication d’autres outillages (25.73B);CENTRE-VAL-DE-LOIRE;2020-07-03;2025-07-01;Equipements Industriels, Médicaux, Mécaniques;47.494571, 0.776028
ATELIER LEMAIRE;32619700100026;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);CENTRE-VAL-DE-LOIRE;2020-07-03;2025-07-01;Ameublement et Décoration;47.407435, 0.67903
ETABLISSEMENT MARIUS FABRE JEUNE;63568029100013;20.42Z;Fabrication de parfums et de produits pour la toilette (20.42Z);PROVENCE-ALPES-COTE D'AZUR;2020-07-30;2025-07-28;Mode et beauté;43.637809, 5.09034
ATELIER AUTOMOBILES ANCIENNES;33151957900022;45.20A;Entretien et réparation de véhicules automobiles légers (45.20A);CENTRE-VAL-DE-LOIRE;2020-07-30;2025-07-28;Loisirs et Transports;47.330327, 0.699457
HAMARD-VITAU;32610236500037;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2020-10-01;2025-09-29;Mode et beauté;48.875527, 2.342998
LES ATELIERS ASDOURIAN & GUSTAVE GERNEZ;67201606000036;18.12Z;Autre imprimerie (labeur) (18.12Z);ILE-DE-FRANCE;2021-07-15;2026-07-13;Equipements Industriels, Médicaux, Mécaniques;48.803703, 2.296404
MP VITRAGE;80741502100011;23.12Z;Façonnage et transformation du verre plat (23.12Z);NORMANDIE;2021-07-27;2026-07-25;Equipements Industriels, Médicaux, Mécaniques;48.905697, -0.210346
H2O PARAPLUIES;83396574200012;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);NORMANDIE;2021-07-27;2026-07-25;Mode et beauté;49.31415, -0.549083
LAUDESCHER;33280130700023;16.23Z;Fabrication de charpentes et d’autres menuiseries (16.23Z);NORMANDIE;2021-09-15;2026-09-13;Architecture et Patrimoine Bâti;49.373802, -1.214255
BILLARDS TOULET;50353678100035;32.40Z;Fabrication de jeux et jouets (32.40Z);HAUTS-DE-FRANCE;2021-09-27;2026-09-25;Loisirs et Transports;50.69429, 3.096567
SLOSSE;53904892600015;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);HAUTS-DE-FRANCE;2021-11-02;2026-10-31;Architecture et Patrimoine Bâti;50.473322, 3.2386
PARQUETS BRIATTE;56210471100113;43.33Z;Travaux de revêtement des sols et des murs;ILE-DE-FRANCE;2022-03-15;2027-03-13;Architecture et Patrimoine Bâti;48.928923, 2.351453
JULIEN FAURE;54450043200049;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);AUVERGNE-RHÔNE-ALPES;2022-03-22;2027-03-20;Mode et beauté;45.518268, 4.260896
CIERGERIE BROUSSE ET FILS;33342809200097;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);NOUVELLE AQUITAINE;2022-04-01;2027-03-30;Ameublement et Décoration;45.208296, 1.468976
SOC L ARSOIE;60020119800014;14.31Z;Fabrication d’articles chaussants à mailles (14.31Z);OCCITANIE;2022-04-11;2027-04-09;Mode et beauté;43.982977, 3.725478
ETABLISSEMENTS VOLPON ET FILS;96450607500016;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);AUVERGNE-RHÔNE-ALPES;2022-06-29;2027-06-27;Ameublement et Décoration;45.707544, 4.856252
MACOSA;78628651800109;14.14Z;Fabrication de vêtements de dessous;PAYS-DE-LA-LOIRE;2022-10-06;2027-10-04;Mode et beauté;48.171743, 0.417841
FIL'ING;41453286100039;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);AUVERGNE-RHÔNE-ALPES;2023-01-03;2028-01-01;Mode et beauté;45.903745, 4.877339
CHAPEAUX ET GANTS;80093651000026;46.42Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;ILE-DE-FRANCE;2023-03-28;2028-03-25;Mode et beauté;48.85179, 2.3256
ATELIERS PERRAULT FRERES;06120108300013;43.32A;Travaux de menuiserie bois et PVC (43.32A);PAYS-DE-LA-LOIRE;2023-06-23;2028-06-20;Architecture et Patrimoine Bâti;47.31866169740178, -0.802225473852389
SOCIETE BRUNO DELGRANGE;35002411300036;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2023-07-12;2028-07-09;Loisirs et Transports;48.546814, 3.309222
SOCIETE HERINK;62205241300037;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2023-07-12;2028-07-09;Mode et beauté;48.852525, 3.235796
DAGAND ATLANTIQUE;49850560100068;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);OCCITANIE;2023-11-14;2028-11-11;Architecture et Patrimoine Bâti;43.940969, 1.322384
Tissages Lartigue;34986461100026;13.20Z;Tissage (13.20Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Ameublement et Décoration;43.176202, -0.608941
ALINA PRODUCTION;75124545700013;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2023-12-08;2028-12-05;Arts de la table;45.048251, 5.085635
LABORATOIRES ABIA SAS;68555009700032;10.84Z;Fabrication de condiments et assaisonnements (10.84Z);BOURGOGNE-FRANCHE-COMTÉ;2023-12-19;2028-12-16;Gastronomie;46.967494, 4.797182
Dominique Jacquemin (Manufacture Jacquemin);40453025500011;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";BOURGOGNE-FRANCHE-COMTÉ;2023-12-19;2028-12-16;Ameublement et Décoration;47.012826, 5.800784
La Compagnie Dumas;77811524600028;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);BOURGOGNE-FRANCHE-COMTÉ;2023-12-20;2028-12-17;Ameublement et Décoration;47.86232397539686, 3.967321948894209
PIGMENT ROUGE;41225568900025;18.13Z;Activités de pré-presse (18.13Z);ILE-DE-FRANCE;2023-12-20;2028-12-17;Equipements Industriels, Médicaux, Mécaniques;45.716455, 4.988935
SOLYFONTE;35370665800047;24.41Z;Production de métaux précieux (24.41Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Equipements Industriels, Médicaux, Mécaniques;45.621111, 4.068421
LES ATELIERS AUBERT-LABANSAT;42445830500028;16.23Z;Fabrication de charpentes et d’autres menuiseries;NORMANDIE;2024-03-12;2029-03-10;Architecture et Patrimoine Bâti;49.064904, -1.449546
LEHODEY VANI-BOIS;90558008000018;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);NORMANDIE;2024-03-12;2029-03-10;Ameublement et Décoration;49.18005, -1.256703
REMY GARNIER SA;43520629700036;25.72Z;Fabrication de serrures et de ferrures;ILE-DE-FRANCE;2024-03-18;2029-03-16;Architecture et Patrimoine Bâti;49.045918, 2.189495
FAUVEL;34445727000017;23.31Z;Fabrication de carreaux en céramique (23.31Z);NORMANDIE;2024-04-03;2029-04-01;Architecture et Patrimoine Bâti;49.218871, -1.052141
CDHC Productions - Duvivier canapés;40298659000022;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Ameublement et Décoration;46.283238, 0.535466
TONNELLERIE DE L'ADOUR;42502997200014;16.24Z;Fabrication d’emballages en bois (16.24Z);OCCITANIE;2024-06-21;2029-06-19;Equipements Industriels, Médicaux, Mécaniques;43.608871, 0.053384
CHANTIER NAVAL JEZEQUEL;82289709600019;30.12Z;Construction de bateaux de plaisance (30.12Z);BRETAGNE;2024-08-21;2029-08-19;Loisirs et Transports;48.598754, -3.843291
LES ECLISSES;84223668900019;32.20Z;Fabrication d'instruments de musique;NORMANDIE;2025-01-16;2030-01-14;Culture et Communication;49.18305123856397, -0.3666536045284708
SOCIETE D'EXPLOITATION MARBRERIE DE VITRY;49334888200017;43.33Z;Travaux de revêtement des sols et des murs;ILE-DE-FRANCE;2025-03-21;2030-03-19;Ameublement et Décoration;48.776055108044304, 2.41907379925719
ATELIER THIERY;51407491300039;43.34Z;Travaux de peinture et vitrerie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Architecture et Patrimoine Bâti;48.85084935133691, 2.3873422521121617
SOC MAISON MASSARO;55212487700044;47.72A;Commerce de détail de la chaussure;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.90171459297523, 2.371334833095792
G BONNIN FRERES;45720156400020;33.15Z;Réparation et maintenance navale;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Loisirs et Transports;44.6565251064484, -1.1444333513581464
DUNOD MALLIER FERRONNIERS D ART;40250039100030;43.39Z;Autres travaux de finition;ILE-DE-FRANCE;2025-04-15;2030-04-13;Architecture et Patrimoine Bâti;48.77766198429942, 2.02368859242747
LES TISSAGES DE LA LYS SA;88578096500012;13.20Z;Tissage;HAUTS-DE-FRANCE;2025-05-12;2030-05-10;Equipements Industriels, Médicaux, Mécaniques;50.78010881065236, 3.105224069282273
COLIEGE METALCO EMBALLAGES;40859832400015;25.92Z;Fabrication d'emballages métalliques légers;OCCITANIE;2025-05-19;2030-05-17;Equipements Industriels, Médicaux, Mécaniques;43.58911769323017, 1.3830340569461959
EXO SIGNS;47974954100013;22.29B;Fabrication de produits de consommation courante en matières plastiques;ILE-DE-FRANCE;2025-06-03;2030-06-01;Fournitures, Équipements et Matériaux;48.865961094228766, 2.671482855908353
RAVEL DECROIX ET FILS;5782099500017;23.49Z;Fabrication d'autres produits céramiques;PROVENCE-ALPES-COTE D'AZUR;2025-06-04;2030-06-02;Fournitures, Équipements et Matériaux;43.29204194565357, 5.561388794370142
ETS TETARD HAUDIQUEZ GRISONI;61568011300011;28.14Z;Fabrication d'autres articles de robinetterie;HAUTS-DE-FRANCE;2025-06-05;2030-06-03;Ameublement et Décoration;50.076266267453384, 1.5059766824254375
ETABLISSEMENTS BAIZET SA;30351281800012;14.13Z;Fabrication de vêtements de dessus (14.13Z);PAYS-DE-LA-LOIRE;2025-06-11;2030-06-09;Mode et beauté;46.826202, -1.122067
MH DIFFUSION;34173447300026;46.49Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques;GRAND-EST;2025-06-27;2030-06-25;Equipements Industriels, Médicaux, Mécaniques;48.5517761108199, 5.912420526299687
EG EBENISTERIE GENERALE;52286576500039;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Ameublement et Décoration;47.18187608194303, -1.1295150407701835
Moulins de Versailles;31013140400017;10.61A;Meunerie;ILE-DE-FRANCE;2019-08-30;2024-08-27;Gastronomie;48.796444668833175, 2.13742954839514
La Nantaise de Confiserie;52880482600014;47.24Z;;PAYS-DE-LA-LOIRE;2019-08-30;2024-08-27;Gastronomie;47.217189916404664, -1.5525634174753364
MAISONNEUVE CITERNE;34900327700010;29.20Z;Fabrication de carrosseries et remorques (29.20Z);NORMANDIE;2020-02-20;2025-02-17;Equipements Industriels, Médicaux, Mécaniques;48.918971, -1.430925
BERTIN ET FILS;85620013400026;43.32A;Travaux de menuiserie bois et PVC (43.32A);AUVERGNE-RHÔNE-ALPES;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;45.787125, 3.132052
LA DISTILLERIE;32164062500026;11.04Z;Production d'autres boissons fermentées non distillées;CORSE;2020-07-30;2025-07-28;Gastronomie;42.701429, 9.45087
BORREL BOUVARD ARTHAUD;38113665400013;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);PAYS-DE-LA-LOIRE;2020-07-30;2025-07-28;Equipements Industriels, Médicaux, Mécaniques;47.741751, 0.580101
LINGE AU COEUR;56204856100046;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);ILE-DE-FRANCE;2020-07-30;2025-07-28;Ameublement et Décoration;48.862876, 2.337663
PESCE FRÈRES ET FILS;49226375100017;32.20Z;Fabrication d’instruments de musique (32.20Z);NOUVELLE AQUITAINE;2020-07-30;2025-07-28;Culture et Communication;43.322146, -0.316844
